back-squat	back squat
conventional-deadlift	conventional deadlift
barbell-bench-press	barbell bench press
barbell-incline-bench-press	barbell incline bench press
dumbbell-fly	dumbbell fly
lat-pull-down	lat pull down
dumbbell-shoulder-press	dumbbell shoulder press
dumbbell-lateral-raise	dumbbell lateral raise
dumbbell-front-raise	dumbbell front raise
dumbbell-shrug	dumbbell shrug
barbell-bicep-curl	barbell bicep curl
dumbbell-bicep-curl	dumbbell bicep curl
dumbbell-tricep-extension	dumbbell tricep extension
dumbbell-kickback	dumbbell kickback
dumbbell-wrist-curl	dumbbell wrist curl
clean	clean
clean-jerk	clean & jerk
jerk	jerk
snatch	snatch
barbell-overhead-squat	barbell overhead squat
sit-up	sit up
leg-raise	leg raise
burpee	burpee
thruster	thruster
bentover-dumbbell-lateral-raise	bentover dumbbell lateral raise
handstand-push-ups	handstand push ups
air-squat	air squat
treadmill	treadmill
cycle	cycle
jump-squat	jump squat
weighted-pull-up	weighted pull up
hindu-push-ups	hindu push ups
handstand	handstand
v-up	v-up
pull-up	pull up
seated-row-machine	seated row machine
weighted-dips	weighted dips
archer-push-ups	archer push ups
dips	dips
mountain-climber	mountain climber
weighted-step-up	weighted step up
lunge	lunge
chin-up	chin up
cable-push-down	cable push down
step-up	step up
zercher-squat	zercher squat
hip-adduction-machine	hip adduction machine
standing-calf-raise	standing calf raise
good-morning	good-morning
barbell-bulgarian-split-squat	barbell bulgarian split squat
dumbbell-bulgarian-split-squat	dumbbell bulgarian split squat
dumbbell-split-squat	dumbbell split squat
bodyweight-split-squat	bodyweight split squat
dumbbell-goblet-squat	dumbbell goblet squat
kettlebell-goblet-squat	kettlebell goblet squat
dumbbell-lunge	dumbbell lunge
barbell-hip-thrust	barbell hip thrust
incline-dumbbell-fly	incline dumbbell fly
weighted-push-ups	weighted push ups
close-grip-push-ups	close-grip push ups
incline-dumbbell-bench-press	incline dumbbell bench press
pec-deck-fly-machine	pec deck fly machine
incline-bench-press-machine	incline bench press machine
weighted-chin-up	weighted chin up
barbell-incline-row	barbell incline row
dumbbell-incline-row	dumbbell incline row
one-arm-dumbbell-row	one arm dumbbell row
barbell-pullover	barbell pullover
weight-hyperextension	weight hyperextension
back-extension	back extension
arnold-dumbbell-press	arnold dumbbell press
shoulder-press-machine	shoulder press machine
barbell-shrug	barbell shrug
face-pull	face pull
cable-reverse-fly	cable reverse fly
barbell-upright-row	barbell upright row
dumbbell-upright-row	dumbbell upright row
ez-bar-upright-row	ez bar upright row
dumbbell-hammer-curl	dumbbell hammer curl
close-grip-bench-press	close-grip bench press
